ID,Plant Name,Variety Name,Scientific Name,Plant Family,Plant Type,Growth Habit,Origin/Heirloom Status,Organic,Seed Company/Source,Year Acquired,Seed Size,Seed Longevity,Germ Temp (Min),Germ Temp (Max),Germ Temp (Ideal),Germ Time (Days),Light Req for Germ,Stratification Req,Scarification Req,Sowing Depth,Spacing - In Row,Spacing (Low),Spacing (High),Direct Seedable,Transplantable,Days to Transplant (Low),Days to Transplant (High),Time to Maturity,Mature Plant Height,Mature Plant Spread,Sunlight Req,Water Needs,Fertilizer Needs,Pest Resistance,Disease Resistance,Cold Hardiness,Heat Tolerance,Drought Tolerance,Bolting Tendency,Support Required,Pruning Required,Harvest Window (Low),Harvest Window (High),Typical Yield,Yield Units,Storage Life,Requires Pollinator,Notes/Observations,URL,Weekly Yield
,Amaranth (Edible Leaf),Red Strip Leaf Amaranth,Amaranthus tricolor,Amaranthaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-4 years,70,90,80,45852,Light,No,No,0.25in,6-12in,6,12,Yes,"Yes, with care",14,21,30-45 days,2-5ft,1-2ft,Full Sun,Moderate,Moderate,Moderate,Moderate,Frost Tender,Very High,High,High,No,Yes (pinch for bushiness),,,Continuous,leaves/stems,Short,Yes (wind-pollinated),Also known as 'callaloo'.,,[0.2;0.4;0.5;0.5;0.5;0.4;0.2]
,Aojiso (Green Shiso),Chirimen Aojiso,Perilla frutescens,Lamiaceae,Annual,Bush,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Small,2-3 years,65,80,70,45859,Light,No,No,0.25in,12-18in,12,18,Yes,Yes,28,42,60-90 days,1-3ft,1-2ft,Full Sun-Partial Shade,Moderate,Low,Moderate,Moderate,Frost Tender,High,Moderate,Medium,No,Yes (pinching),,,Continuous,leaves,Short,No (Self-pollinating),A green shiso variety with crinkled leaves.,,[0.5;0.5;0.5;0.5;0.5;0.5]
,Aomaru Nasu,,Solanum melongena,Solanaceae,Annual,Bush,Heirloom (Dento Yasai),,Specialty Asian Seed Suppliers,,Medium,4-6 years,75,90,85,45852,Darkness,No,No,0.25in,24-36in,24,36,"No, transplant recommended",Yes,42,56,70-100 days,2-4ft,2-3ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, for heavy fruiting",No,,,45787,fruits/plant,Short,No (Self-pollinating),A round, green traditional eggplant from Japan.,[1;1.5;1.5;1]
,Artichoke,Globe Artichoke,Cynara scolymus,Asteraceae,Perennial,Clumping,Heirloom,,General,,Large,6-8 years,60,75,70,14-21,Darkness,"Yes (cold, for seeds)",No,0.5in,36-60in,36,60,"No, transplant recommended",Yes,56,70,150-300 days,3-5ft,3-5ft,Full Sun,Moderate-High,High,Moderate,Moderate,Light Frost Tolerant,Moderate,Moderate,Low,No,Yes (deadheading),,,45722,buds/plant,Short,Yes (bees, if flowers open),Grown as an annual in colder climates.,[1;2;2;1]
,Arugula,Rocket,Eruca vesicaria,Brassicaceae,Annual,Rosette,Heirloom,,General,,Small,3-4 years,40,70,60,45787,Darkness,No,No,0.25in,4-6in,4,6,Yes,"Yes, with care",14,21,20-40 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Low,Low,High,No,No,,,Continuous,leaves,Short,No (Self-pollinating),Bolts quickly in heat, giving leaves a peppery,[1;2;2;1]
,Asian Water Spinach,"Kangkong, Swamp Cabbage",Ipomoea aquatica,Convolvulaceae,Perennial (grown as annual),"Sprawling, Vining",Open-pollinated,,Asian Seed Suppliers,,Medium,1-2 years,75,95,85,45787,Darkness,No,Yes (soaking),0.5in,6-12in,6,12,Yes,Yes,21,28,30-45 days,0.5-1ft,3-6ft,Full Sun,"High, Wet",High,Moderate,Moderate,Frost Tender,Very High,Low,Low,No,Yes (frequent harvesting),,,Continuous,leaves/stems,Short,Yes (bees, for seed saving),Thrives in wet soil or shallow water.,[0.5;0.75;0.75;0.75;0.5]
,Asparagus,Mary Washington,Asparagus officinalis,Asparagaceae,Perennial,Upright,Heirloom,,General,,Crowns,3-5 years (seed),60,85,75,21-28,Darkness,"Yes (cold, for seeds)",No,6-8in (crowns),12-18in,12,18,"No, crowns preferred",Yes (crowns),,,730 (2 years to first harvest),3-6ft,2-3ft,Full Sun,Moderate,High,Moderate,Moderate,Very Hardy,Moderate,Moderate,Low,No,No,,,0.5-1,lb/plant,Short,No (Dioecious, but not for harvest),A long-term investment,[0.5;0.75;0.75;0.75;0.5]
,Bamboo Shoots (Edible Species),Giant Timber Bamboo,Phyllostachys bambusoides,Poaceae,Perennial,"Clumping, Running",Heirloom,,Specialty Nurseries,,"Rhizome, Cuttings",N/A,60,90,75,N/A,N/A,No,No,6-12in,60-120in,60,120,"No, from rhizome",Yes (rhizome),,,,730-1095 days,20-50ft+,5-15ft+,Full Sun-Partial Sun,Moderate-High,Low-Moderate,High,High,Varies by species,Low,Low,Low,No,Short (Spring),,,Varies,shoots,Medium,No (Asexual reproduction),Choose clumping varieties for easier management. Running types are invasive.,[1;2;2;1]
,Beet,,Beta vulgaris subsp. vulgaris,Amaranthaceae,Biennial (grown as annual),"Root, Leaf",Open-pollinated/Hybrid,,General,,Medium,4-5 years,50,85,75,45852,Darkness,No,No,0.5in,3-6in,3,6,Yes,"Yes, with care",21,28,50-70 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,Low,No,No,,,1,root/plant,Medium,No (Self-pollinating),Beet 'seeds' are clusters of several seeds.,,0
,Beet,Detroit Dark Red,Beta vulgaris subsp. vulgaris,Amaranthaceae,Biennial (grown as annual),"Root, Leaf",Heirloom,,General,,Medium,4-5 years,50,85,75,45852,Darkness,No,No,0.5in,3-4in,3,4,Yes,"Yes, with care",21,28,50-70 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Yes (thinning),,,1,root/plant,Medium,No (Self-pollinating),A classic, reliable variety for roots and greens.,0
,Bell Pepper,,Capsicum annuum,Solanaceae,Annual,Bush,"Open-pollinated, Hybrid",,General,,Medium,2-4 years,70,85,80,45951,Darkness,No,No,0.25in,18-24in,18,24,"Yes, but transplanting recommended",Yes,42,56,70-100 days,2-3ft,1.5-2ft,Full Sun,Moderate,Moderate,Moderate,Moderate,Frost Tender,Moderate,Moderate,Low,"Yes, for heavy fruiting",No,,,45792,peppers/plant,Medium,No (Self-pollinating),Requires consistent warmth.,,[0.5;0.75;1;1;0.75;0.5]
,Bitter Melon,,Momordica charantia,Cucurbitaceae,Annual,Vining,Open-pollinated,,Asian Seed Suppliers,,Medium-Large,2-3 years,75,90,85,45946,Darkness,No,No,0.5-1in,24-36in,24,36,Yes,"Yes, with care",28,42,60-90 days,6-15ft,3-6ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Frost Tender,High,High,Low,"Yes, trellis required",Yes (prune lateral vines),,,45960,fruits/plant,Medium,Yes (bees required),Harvest when green; color changes to orange as it over-ripens.,,[0.5;1;1.5;1.5;1.5;1;0.5]
,Bok Choy,,Brassica rapa subsp. chinensis,Brassicaceae,Annual,Upright,"Open-pollinated, Hybrid",,Asian Seed Suppliers,,Small,3-5 years,45,75,65,45852,Darkness,No,No,0.25-0.5in,6-12in,6,12,Yes,Yes,14,21,30-50 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,No,,,Continuous,leaves,Short,No (Self-pollinating),Can be harvested at baby stage or full size.,,[0.4;0.6;0.5]
,Borage,,Borago officinalis,Boraginaceae,Annual (self-seeding),Bush,Heirloom,,General,,Medium,1-2 years,60,70,65,45852,Darkness,No,No,0.5in,12-18in,12,18,Yes,"Yes, with care",21,28,50-70 days,2-3ft,1-2ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tender,Moderate,Moderate,Low,No,No,,,Continuous,flowers/leaves,Short,Yes (bees),Attracts pollinators. Leaves have a cucumber-like flavor.,,[0.5;1;0.5]
,Broccoli,,Brassica oleracea var. italica,Brassicaceae,Annual,Upright,"Open-pollinated, Hybrid",,General,,Small,3-5 years,50,85,75,45852,Darkness,No,No,0.25-0.5in,18-24in,18,24,"No, transplanting recommended",Yes,28,42,60-100 days,1.5-2.5ft,1-2ft,Full Sun,Moderate,High,Moderate,Moderate,Frost Tolerant,Low,Low,Medium,No,Yes (harvest main head),,,1,large head + side shoots,Medium,No (Self-pollinating),Harvest main head to encourage side shoot production.,,[1;0.5;0.5;0.5]
,Broccoli Raab,Rapini,"Brassica rapa subsp. rapa, Ruvo Group",Brassicaceae,Annual,Upright,Open-pollinated,,General,,Small,3-5 years,40,75,65,45787,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,Yes,21,28,40-60 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Low,Low,High,No,Yes (harvest stems),,,Continuous,shoots,Short,No (Self-pollinating),Harvest shoots with buds, leaves,[0.25;0.5;0.5;0.25]
,Buckwheat,,Fagopyrum esculentum,Polygonaceae,Annual,Bush,Heirloom,,General,,Medium,1-2 years,50,70,65,45848,Darkness,No,No,0.5-1in,4-6in,4,6,Yes,"No, direct seed preferred",,,,70-90 days,1-3ft,1-2ft,Full Sun,Low,Low,High,High,Frost Tender,Moderate,High,High,No,Single harvest,,,Varies,seeds,Long,Yes (bees),Often grown as a cover crop to suppress weeds and improve soil.,0
,Bush Beans,,Phaseolus vulgaris,Fabaceae,Annual,Bush,"Open-pollinated, Hybrid",,General,,Medium,3-4 years,60,85,75,45852,Darkness,No,No,1in,4-6in,4,6,Yes,"No, direct seed preferred",,,50-60 days,1-2ft,1-2ft,Full Sun,Moderate,Low,High,High,Frost Tender,Moderate,Moderate,Low,No,No,,,0.5-1,lb/plant,Short,No (Self-pollinating),Succession plant every 2 weeks for a continuous harvest.,,[0.25;0.25]
,Butternut Squash,,Cucurbita moschata,Cucurbitaceae,Annual,Vining,"Open-pollinated, Hybrid",,General,,Large,5-8 years,70,95,85,45848,Darkness,No,No,0.5-1in,36-48in,36,48,Yes,"No, direct seed preferred",,,90-120 days,1-2ft,6-15ft,Full Sun,Moderate-High,Moderate,High,High,Frost Tender,High,High,Low,"Yes, trellis recommended",No,,,45787,fruits/plant,Long,Yes (bees required),Cure in the sun for a week after harvest for better storage.,,[1;2;2]
,Calendula,Pot Marigold,Calendula officinalis,Asteraceae,Annual (often self-seeds),Bush,Heirloom,,General,,Medium,3-5 years,60,75,70,45852,Darkness,No,No,0.25-0.5in,8-12in,8,12,Yes,Yes,21,28,45-60 days,1-2ft,1-1.5ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,High,Moderate,Low,No,Yes (deadheading),,,Continuous,flowers,Short,No (Self-pollinating),Edible flowers and a good companion plant.,,[10;15;20;20;15;10]
,Cape Gooseberry,"Ground Cherry, Goldenberry",Physalis peruviana,Solanaceae,Annual,Bush,Open-pollinated,,General,,Small,3-5 years,65,80,75,45859,Darkness,No,No,0.25in,24-36in,24,36,Yes,Yes,42,56,70-90 days,2-4ft,2-3ft,Full Sun,Moderate,Low,Moderate,Moderate,Frost Tender,High,High,Low,Yes (can sprawl),Yes (optional),,,Continuous,"fruits, collect dropped",Medium,No (Self-pollinating),Fruit is ripe when the papery husk is dry and the fruit drops.,,[0.25;0.5;0.5;0.5;0.25]
,Cardoon,Artichoke Thistle,Cynara cardunculus,Asteraceae,Perennial,Clumping,Heirloom,,General,,Large,6-8 years,60,75,70,14-21,Darkness,No,No,0.5in,24-36in,24,36,"No, transplant recommended",Yes,56,70,120-150 days,3-5ft,2-4ft,Full Sun,Moderate-High,Moderate,Moderate,Moderate,Light Frost Tolerant,Moderate,Moderate,Low,No,Yes (blanching),,,45692,stalks/plant,Medium,Yes (bees, if flowers open),Grown for its edible leaf stalks,[1;2;2;1]
,Carrot,,Daucus carota subsp. sativus,Apiaceae,Biennial (grown as annual),Root,"Open-pollinated, Hybrid",,General,,Small,3-4 years,50,85,75,14-21,Darkness,No,No,0.25-0.5in,2-4in,2,4,Yes,"No, transplanting damages root",,,,70-80 days,1ft,0.5ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Short-Medium,,,1,root/plant,Long,No (Self-pollinating),Soil must be loose and free of stones.,0
,Celeriac,Giant Prague,Apium graveolens var. rapaceum,Apiaceae,Biennial (grown as annual),Root,Heirloom,,General,,Very Small,3-5 years,60,75,70,14-21,Light,No,No,Surface Sown,8-12in,8,12,"No, transplant recommended",Yes,70,84,100-120 days,1-2ft,1-1.5ft,Full Sun,High,High,Low,Low,Frost Tolerant,Low,Low,Low,No,No,,,1,root/plant,Medium-Long,No (Self-pollinating),Grown for its edible root; requires a long season.,,0
,Celery,Pascal,Apium graveolens,Apiaceae,Biennial (grown as annual),Upright,"Open-pollinated, Hybrid",,General,,Very Small,3-5 years,60,75,70,14-21,Light,No,No,Surface Sown,6-10in,6,10,"No, transplant recommended",Yes,70,84,100-120 days,2-3ft,1-1.5ft,Full Sun-Partial Sun,High,High,Low,Low,Frost Tolerant,Low,Low,Medium,No,Yes (blanching optional),,,Continuous,"stalks, leaves",Medium,No (Self-pollinating),Requires consistently moist soil.,,0
